metric,fold,Model,sdr_orig,mean,std,Duration,Metric
delta_sdr,fold_5,ML1,8.000000,6.115100,1.294730,4.000000,delta_sdr
delta_sdr,fold_5,ML2,2.000000,6.793064,1.411208,4.000000,delta_sdr
delta_sdr,fold_5,ML2,4.000000,8.368213,1.768202,4.000000,delta_sdr
delta_sdr,fold_5,ML2,6.000000,9.186820,1.924775,4.000000,delta_sdr
delta_sdr,fold_5,ML2,8.000000,9.525924,1.794804,4.000000,delta_sdr
processing_time,fold_5,Baseline,2.000000,78.119969,7.610738,4.000000,processing_time
processing_time,fold_5,Baseline,4.000000,90.397613,7.563900,4.000000,processing_time
processing_time,fold_5,Baseline,6.000000,96.174157,7.077040,4.000000,processing_time
processing_time,fold_5,Baseline,8.000000,99.526460,6.635601,4.000000,processing_time
processing_time,fold_5,Dynamic,2.000000,65.934331,5.966691,4.000000,processing_time
processing_time,fold_5,Dynamic,4.000000,75.642904,5.728595,4.000000,processing_time
processing_time,fold_5,Dynamic,6.000000,79.717846,5.269437,4.000000,processing_time
processing_time,fold_5,Dynamic,8.000000,81.589244,5.088907,4.000000,processing_time
processing_time,fold_5,ML1,2.000000,2.257954,0.070787,4.000000,processing_time
processing_time,fold_5,ML1,4.000000,2.238699,0.003564,4.000000,processing_time
processing_time,fold_5,ML1,6.000000,2.237760,0.003234,4.000000,processing_time
processing_time,fold_5,ML1,8.000000,2.241034,0.012720,4.000000,processing_time
processing_time,fold_5,ML2,2.000000,43.347619,4.218912,4.000000,processing_time
processing_time,fold_5,ML2,4.000000,49.196662,4.293136,4.000000,processing_time
processing_time,fold_5,ML2,6.000000,52.098719,4.045633,4.000000,processing_time
processing_time,fold_5,ML2,8.000000,53.167495,3.863165,4.000000,processing_time
